maj_label,tweet_id
normal,849962145446076416
normal,849934760818245632
normal,850011675956846593
normal,850000393295810563
normal,850091011237974016
normal,848735181502521344
normal,848170619787243521
normal,848829939214417920
normal,848156774393950209
normal,850809801676210177
normal,849219007047770112
normal,849504588831100929
normal,848234012497858560
normal,848762486430072832
normal,849229123696381952
normal,850576774534643712
normal,850322167703027712
normal,847961479219482626
normal,848930132731596800
normal,847660344935829505
normal,850518192686587905
normal,850692793177698304
normal,850697247545323521
normal,850349673961447425
normal,849433914804404224
normal,850338873620144128
normal,847435979036147717
normal,850148863281442816
normal,850020324624257025
normal,848348743489515522
normal,849958135666282497
normal,847879023401328640
normal,847910434535596032
normal,848826835404238848
normal,848769948092706816
normal,849480731604783104
normal,850689559402872832
normal,848903511496683520
normal,850603479672520704
normal,847780851488313345
normal,849637250468118530
normal,850359832553160704
normal,850062703876071424
normal,850030399350812672
normal,849378424158384129
normal,848792484083896320
normal,849778338461777920
normal,849626877945933825
normal,849958349596631041
normal,850117104011325440
normal,850073122510258176
normal,848988806850027520
normal,849287260956639232
normal,850075836250071040
normal,850713861183471617
normal,848248608663236608
normal,847614287283503104
normal,849837851449622529
normal,847841761175232512
normal,848611705366171649
normal,850166202500513793
normal,850183885702840320
normal,850676473174339584
normal,850772493363064832
normal,849094419454324738
normal,849710998906957824
normal,847772391610740736
normal,850469232584179714
normal,849064698590965760
normal,849019244922712064
normal,848203154994769920
normal,850819297584836608
normal,850476446787219456
normal,848574585792479233
normal,849699804309598208
normal,849716334074224644
normal,847604736857522176
normal,850122846005190656
normal,848950810658656257
normal,848898160025944065
normal,847963635079151616
normal,848009822742036481
normal,849459286128422913
normal,849368668207288321
normal,850246838015762432
normal,849772407707623425
normal,849267132483473408
normal,850536953833553920
normal,849391611033382914
normal,850537541048684544
normal,847893632157876225
normal,850019498329427969
normal,849493956270448641
normal,849326217639723011
normal,848584438225219584
normal,850369018103906306
normal,848921681229787137
normal,849918952511643648
normal,847493654922928128
normal,847528006289457152
normal,849688332896546819
normal,848992468486021120
normal,849142028994830336
normal,849233833908207622
normal,848560832678121473
normal,849648927402074113
normal,848400392144683008
normal,849013414823415808
normal,847873008756822017
normal,849278847182716930
normal,848928341780439040
normal,849438285265068035
normal,850770442331803649
normal,850033566033391616
normal,849679529043820544
normal,850639714264788992
normal,849633341343236096
normal,847893716023070721
normal,848148117358862336
normal,847870743836631040
normal,848138264938774528
normal,850739006035939329
normal,848945953646170112
normal,849963013675204608
normal,850308481714466816
normal,847418598930890753
normal,850027614332887040
normal,848647537301082113
normal,850195105449263105
normal,847547300062740480
normal,848772988929417218
normal,849253748480331777
normal,849805467220148224
normal,849954864117534720
normal,849382849144815616
normal,849496502212939777
normal,850455215245537285
normal,848348743489515522
normal,849263844132175872
normal,848984457382158340
normal,849103110039519232
normal,847520326523244545
normal,849001259747115008
normal,847855342323191808
normal,849214506542616578
normal,848536023365713920
normal,850436521199099905
normal,848480692103241736
normal,849574088419024896
normal,848469510097076224
normal,847960246093926400
normal,849345112970846209
normal,849692871099854849
normal,847508062361460736
normal,848982716733419520
normal,850186549077712896
normal,847421038954659842
normal,848124138510274560
normal,847960086677000192
